id,target
0,6.23391
1,5.83233
2,6.26200
3,5.69154
4,6.41792
5,6.54880
6,5.51236
8,6.37277
10,6.13925
11,6.25937
12,6.07118
14,6.28977
15,6.55678
18,6.58305
21,6.09189
23,5.71505
24,6.12880
25,5.91980
27,4.95441
29,5.79199
30,5.84843
31,6.38061
32,6.04671
33,5.65003
37,6.51372
38,6.08825
39,5.99875
40,6.27484
41,5.91062
42,5.99753
44,6.39865
45,5.22504
47,6.50560
49,6.15691
51,6.47021
52,5.52230
53,6.22815
54,5.22827
55,6.26042
56,5.63492
57,6.31902
59,5.99080
60,5.72529
62,6.43064
63,5.57541
67,5.81291
68,6.30026
69,5.45139
70,6.20388
71,5.91443
73,5.64726
75,5.46026
76,6.28286
81,6.24216
82,6.48773
83,6.42823
86,6.69646
87,6.09073
88,6.28502
91,6.14414
92,5.93505
94,6.24833
97,6.34756
100,5.94486
102,6.10038
103,6.05658
105,6.18707
106,7.22764
108,6.62049
113,5.88108
114,5.75066
115,5.36416
118,6.37457
122,6.45822
124,6.17597
126,6.65325
128,6.14048
129,5.56445
130,5.38015
131,5.16941
132,5.22246
133,6.47256
134,5.38252
135,5.88684
136,5.95051
139,6.02131
140,6.41918
141,6.68233
146,6.61676
148,6.45719
151,6.48313
152,6.43375
154,6.36205
157,5.81359
158,6.23520
159,6.26325
161,5.79275
164,5.10047
165,6.54629
167,6.34187
168,6.47636
169,5.80517
171,6.79763
172,6.52326
173,5.74050
174,6.02616
175,5.86505
176,4.86330
178,6.23754
179,6.31418
180,6.24734
181,5.88467
182,6.95628
183,6.15793
184,6.28507
185,5.91175
187,6.78986
188,5.42714
190,6.23156
191,5.96162
192,5.84053
195,6.25559
196,5.68801
198,6.82778
201,6.45577
202,6.98841
203,6.06146
204,6.22939
207,6.00865
213,5.26401
219,6.21494
220,5.32263
222,6.21938
226,5.23226
228,6.03779
230,5.50206
231,6.06082
232,6.14260
233,5.82550
234,5.83398
236,5.67777
237,5.52553
238,7.13054
240,6.49041
241,6.60210
242,6.13229
243,5.53430
245,5.46560
246,5.16195
247,6.20290
249,5.26847
250,5.53282
251,6.35806
252,5.80812
253,5.55122
254,5.65455
255,5.88862
256,5.71014
257,6.30413
258,5.71841
259,7.16830
260,5.97651
262,6.43611
267,6.10983
268,6.20611
270,5.61574
272,5.57346
273,6.46348
274,5.18250
275,5.72618
276,6.22975
277,6.43450
278,7.03650
279,5.92490
281,5.46856
282,6.22050
283,5.55500
287,5.60972
288,6.50549
289,5.58610
290,6.08449
291,6.39169
292,5.91600
293,5.94794
294,6.27011
295,6.71967
296,6.09519
297,6.26998
298,6.27918
299,6.30923
300,5.60768
303,5.87229
304,6.79455
308,6.54723
314,5.63325
315,5.62147
317,6.22991
318,5.61333
320,5.15146
322,6.64847
323,6.05730
327,5.45204
329,6.80564
331,5.59164
332,6.01117
333,6.75497
334,6.21282
335,5.85924
336,5.50438
337,5.75273
341,5.49469
343,6.22970
345,5.40093
347,5.76833
348,7.08776
349,6.37840
352,5.63494
353,6.40508
354,5.23994
355,6.24425
356,5.64253
357,5.70561
358,5.94631
359,5.86213
361,6.00216
362,5.69959
365,6.26455
366,5.41653
368,5.61187
369,5.97435
371,6.39872
373,5.38100
376,5.85918
377,6.14500
379,5.69911
381,5.75854
382,5.58573
383,5.74052
384,6.41117
385,5.57969
386,5.65884
387,5.71298
388,5.31386
390,5.85870
391,6.04005
392,6.19515
393,5.01480
394,6.06419
396,5.64734
400,6.08363
402,4.50055
403,5.47537
405,6.54927
407,5.77746
409,5.30986
411,6.40155
412,7.00373
414,5.31485
415,6.16265
416,6.13486
418,6.00881
419,6.00585
421,6.45831
422,4.78093
423,5.55721
424,6.19926
426,5.56512
427,6.07643
428,5.17936
436,5.32697
438,5.93579
442,6.55628
443,5.89460
445,5.46482
446,5.53065
447,6.36470
450,5.63349
452,6.58539
453,5.66458
455,5.86321
458,5.35571
459,6.37566
461,6.35154
463,6.06890
467,4.85315
470,5.67100
471,5.38914
472,6.02774
476,6.62644
477,5.34012
481,5.53248
482,6.14217
483,5.59252
485,6.58877
487,5.56803
488,6.36846
490,5.26826
492,5.90671
494,5.96989
497,6.10167
499,5.39602
500,5.81593
501,6.43620
503,5.18029
505,6.02422
506,6.25782
507,5.55799
509,6.41643
510,6.32153
511,5.94628
512,6.07517
514,5.42932
515,5.89296
516,5.55252
517,6.20996
519,5.09082
520,5.14146
521,6.17557
522,5.79551
523,5.95550
527,5.98586
530,6.48388
532,6.15680
534,5.62745
536,5.18667
539,6.34149
543,6.28396
547,6.15382
550,5.88177
551,5.55079
552,6.38566
553,5.44847
555,6.53719
556,6.31738
557,6.17582
558,5.15689
559,5.98987
560,5.72966
561,6.21469
565,5.77622
566,6.31370
567,6.40733
571,6.85288
572,6.53762
574,6.16123
575,6.72890
576,6.42305
577,6.32899
578,5.77396
579,5.88560
581,5.98711
587,5.45824
589,5.95237
590,5.44110
591,5.25308
592,6.63159
593,6.18380
594,7.24982
595,5.23632
596,5.95781
597,5.90788
598,6.26208
600,6.32289
602,5.98947
605,6.05850
606,5.51361
607,5.53986
612,5.93209
613,5.72605
614,6.34127
615,5.71125
616,5.49592
617,6.53176
618,5.28880
620,7.18526
621,5.66055
622,6.61810
623,5.51040
628,6.90683
631,6.31421
632,6.36183
633,6.03709
634,6.77292
635,6.27073
637,5.33341
638,5.98735
640,5.29085
643,5.72312
644,5.04742
645,5.66968
646,6.57054
649,6.04968
651,5.68766
653,6.33528
654,5.90136
655,5.63827
656,5.85994
658,5.80421
659,5.90630
661,5.74316
662,6.68098
663,4.95701
664,5.28985
665,5.83257
667,6.07657
668,5.52122
671,5.63753
673,6.08232
674,4.89637
675,6.43030
676,6.67606
677,5.88373
678,5.89707
679,5.68631
680,6.28829
681,5.63551
682,5.97042
683,5.73626
684,5.91794
686,6.61830
687,5.82023
688,5.91656
690,6.50151
691,6.06750
692,6.30735
693,6.43501
694,5.22829
695,5.94519
696,5.90699
698,5.55773
699,5.47246
702,5.39263
703,6.53938
705,6.79860
706,6.13399
707,6.15006
708,5.54794
709,5.48484
710,5.26243
713,4.99505
714,6.14080
715,6.03964
716,6.74085
717,5.69013
718,6.03985
719,6.34452
720,5.82638
721,5.77804
723,5.72650
724,5.66113
726,5.56998
728,5.99590
730,5.77104
732,5.78717
734,5.86033
735,6.23965
737,6.09754
738,6.88250
741,6.42052
742,6.12981
743,5.31509
746,5.69837
747,5.82765
749,5.63749
750,5.59862
752,5.88977
755,4.95813
757,6.15450
758,6.46176
759,6.77083
765,5.72140
766,6.33036
767,6.22460
768,6.08013
769,5.68435
770,5.42742
771,6.16701
772,6.42205
773,5.88951
775,5.74496
776,6.22648
778,6.22319
779,5.72197
780,5.41768
782,5.47090
783,5.68041
784,5.96122
785,6.62256
786,5.52402
788,5.55960
789,6.21301
792,5.75536
793,6.29641
794,6.00677
797,5.46569
798,5.81367
799,6.30919
800,5.26369
801,5.79831
802,5.95023
805,5.88567
807,6.10725
808,6.31816
811,5.21350
813,6.01635
814,6.62172
815,5.93603
816,5.45602
817,6.05109
819,6.24917
821,6.40826
823,5.75087
825,5.33807
826,5.85065
827,5.93061
828,6.09072
830,5.82521
831,6.33533
833,5.69001
834,4.52960
835,5.50125
836,6.26295
837,5.71760
838,5.10573
840,5.79149
842,5.97215
844,6.20309
845,5.17458
847,5.31373
848,5.68412
850,6.02481
851,5.46481
852,5.50487
853,5.52706
855,6.01042
856,5.25415
857,6.01312
859,6.19941
860,5.58960
862,5.86491
863,5.47858
864,6.33298
867,6.39597
868,6.05721
869,6.82852
871,5.92461
873,6.13808
875,6.05518
876,5.64295
877,5.74067
879,4.52108
880,6.42252
883,6.43976
884,6.65033
885,5.92925
886,5.42493
887,5.53832
888,6.86408
891,6.07466
893,5.94144
895,5.07659
897,6.26570
898,5.94561
901,6.48553
902,6.80232
904,5.46939
905,6.12113
907,6.01085
908,6.18331
909,6.01294
910,5.58674
911,5.90250
913,6.24475
914,5.98035
915,6.77593
916,6.23715
917,5.32742
919,5.66262
920,6.75931
923,5.81258
924,5.55383
925,5.45332
926,5.63495
928,6.46430
929,6.03821
932,5.68918
935,6.57710
936,5.28057
937,5.59785
938,6.34352
939,5.64825
940,5.84130
941,6.30978
944,5.83281
945,6.75591
946,7.10666
947,7.12573
949,6.29118
950,5.94279
952,6.60735
953,5.98436
955,5.73016
956,5.98391
957,5.81891
960,4.84618
961,6.62521
962,6.32237
963,5.23881
964,5.82655
967,6.16621
975,6.62255
976,5.14601
977,6.73116
978,5.81382
980,5.41871
985,5.46349
986,6.19809
987,6.41413
989,5.78814
992,5.77138
994,5.51116
995,7.06163
996,6.22097
997,5.38839
998,5.51550
999,5.45850
1000,6.04545
1004,6.88836
1005,6.48544
1006,6.18926
1007,5.30785
1010,6.24064
1011,6.18745
1012,5.98090
1013,5.75170
1014,6.54883
1016,5.50295
1018,6.27198
1019,6.54452
1020,5.97497
1022,5.92122
1023,5.56095
1024,6.34762
1025,6.12499
1029,5.63038
1031,5.47566
1032,6.43182
1033,6.88862
1034,6.13784
1035,5.37998
1036,5.78989
1037,5.77817
1038,5.69030
1039,5.90828
1041,6.13633
1043,6.10532
1049,5.32470
1050,6.04650
1051,6.12639
1052,5.97069
1053,5.72523
1054,5.65178
1056,4.99462
1057,5.86585
1060,5.28614
1061,5.76420
1062,6.42270
1063,5.98784
1064,4.83789
1065,6.38941
1066,4.56218
1068,6.96247
1073,5.60789
1075,5.75633
1079,5.85707
1081,6.17137
1083,4.87693
1085,5.72373
1086,5.53116
1087,6.03789
1088,6.27900
1089,4.83584
1090,6.04433
1091,5.33781
1092,5.86995
1095,5.93697
1098,5.68437
1099,5.96027
1100,5.42369
1101,5.94138
1103,6.29447
1104,5.70392
1106,5.86458
1107,6.44948
1108,6.08800
1109,5.80297
1113,6.28650
1114,5.59775
1116,5.47563
1117,6.14117
1118,6.87140
1119,4.68925
1120,5.73978
1121,5.58091
1122,5.89391
1123,6.37726
1125,6.27302
1126,6.59135
1127,5.81423
1128,5.66650
1129,6.53976
1130,5.86974
1132,5.71490
1133,5.53211
1136,6.31905
1137,6.24143
1140,5.52249
1142,6.31467
1144,6.20457
1145,5.59899
1146,5.25040
1148,5.71283
1150,5.47895
1151,6.53436
1153,6.75556
1154,5.65262
1155,6.90697
1156,5.08642
1157,5.81405
1158,5.95033
1160,6.08381
1161,4.62222
1167,5.25024
1168,5.89976
1170,5.38482
1171,6.63191
1173,6.29602
1174,6.58967
1175,5.62163
1176,6.46061
1177,6.70735
1178,5.09804
1179,5.70972
1180,5.87697
1181,6.53759
1182,5.50739
1183,5.94159
1185,5.75774
1188,6.04771
1189,6.05576
1190,5.19532
1191,6.43431
1192,5.58982
1194,6.36863
1197,6.34929
1198,6.06927
1199,6.39744
1200,6.25625
1203,4.81836
1204,5.65381
1207,6.21085
1208,6.85946
1209,5.38002
1210,6.54998
1211,5.39911
1213,6.73720
1214,5.40473
1215,6.56391
1216,5.47961
1217,5.84079
1218,5.84421
1219,5.89904
1223,6.58688
1225,6.39002
1226,6.20312
1228,5.81622
1229,5.45492
1231,5.70289
1232,5.45517
1233,6.04295
1235,6.92922
1238,6.20121
1239,4.90717
1240,5.75778
